date_shipped,from_zipcode,to_zipcode,total_animals,tau_hours
06/01/2021,53679,46638,8,8.41
06/01/2021,76978,79036,13,3.57
06/01/2021,52730,52245,13,5.06
06/01/2021,53324,53679,16,5.01
06/01/2021,85052,86274,2,4.71
06/01/2021,90999,83545,58,13.82
06/01/2021,53679,54971,2,3.06
06/01/2021,66350,68216,13,4.99
06/01/2021,46380,74105,34,16.51
06/01/2021,31899,94553,14,24.0
06/01/2021,30964,30930,2,3.79
06/01/2021,79853,40285,45,22.34
06/01/2021,77131,78718,10,6.17
06/01/2021,97808,97479,12,3.27
06/01/2021,57627,57580,60,5.13
06/01/2021,59901,83545,57,6.57
06/01/2021,74933,73021,13,4.21
06/01/2021,94039,93164,4,6.64
06/01/2021,79036,76107,57,3.46
06/01/2021,52514,62185,14,6.69
06/01/2021,60202,61371,33,4.19
06/01/2021,91737,97808,9,12.86
06/01/2021,73049,74693,2,5.48
06/01/2021,56256,49591,11,6.32
06/01/2021,57432,57721,93,6.38
06/01/2021,33185,34450,14,4.97
06/01/2021,76380,77826,64,4.38
06/01/2021,94553,90967,6,6.77
06/01/2021,85476,37531,5,24.0
06/01/2021,41147,41392,5,2.95
06/01/2021,68737,51820,14,11.36
06/01/2021,44777,43122,5,2.64
06/01/2021,28841,27694,13,5.5
06/01/2021,85319,85305,27,6.1
06/01/2021,77877,97251,13,24.0
06/01/2021,52245,51345,3,4.73
06/01/2021,45228,43122,5,3.3
06/01/2021,77131,79853,41,6.71
06/01/2021,44712,43147,82,5.52
06/01/2021,55337,55208,1,3.36
06/01/2021,54262,47898,5,10.33
06/01/2021,59053,90967,4,20.14
06/01/2021,51820,52730,5,6.32
06/01/2021,66407,67888,54,2.79
06/01/2021,93239,91748,33,6.48
06/01/2021,83392,83545,6,3.43
06/01/2021,52689,67776,41,11.61
06/02/2021,63743,63294,54,5.78
06/02/2021,78962,79728,14,3.49
06/02/2021,77826,33361,10,22.88
06/02/2021,53679,54992,10,4.9
06/02/2021,55337,56510,1,4.4
06/02/2021,58339,52245,13,13.48
06/02/2021,51345,52294,44,6.65
06/02/2021,56510,55337,1,4.4
06/02/2021,90967,92834,13,6.63
06/02/2021,68920,68015,31,7.42
06/02/2021,66731,52730,9,10.46
06/02/2021,78445,77826,1,3.12
06/02/2021,53477,18330,13,17.75
06/02/2021,66350,49697,12,17.25
06/02/2021,37531,38533,6,4.62
06/02/2021,53278,52294,13,7.43
06/02/2021,68737,68434,11,4.06
06/02/2021,34613,33361,1,3.83
06/02/2021,98139,98272,29,5.1
06/02/2021,68920,68566,1,5.0
06/02/2021,76880,76891,47,5.63
