zipcode,herd_size
90999,2326
95340,1564
92057,2599
90835,1156
95997,602
93492,491
91523,226
90066,416
90072,2078
92682,1897
92535,180
92571,1350
92330,450
91737,2912
95135,394
95726,1174
93239,551
91526,2090
94552,636
90621,501
92480,499
94553,2935
92822,597
94067,961
92679,2685
92834,3321
91445,498
91285,1226
93164,344
92936,1125
90357,3465
91446,848
94295,514
92616,395
90294,4520
93620,1734
90167,184
92462,353
93932,1110
91536,847
90058,342
91524,494
94115,830
91748,561
90757,798
90967,2703
94390,1901
95784,536
92119,699
91605,1048
94039,4134
93198,424
94592,1383
91407,1757
92866,10332
90102,441
97251,802
97823,1107
97856,2101
97319,1069
97923,274
97150,1317
97432,616
97627,1821
97172,1917
97799,327
97382,397
97182,2545
97560,638
97995,298
97808,385
97610,1409
97969,486
97080,952
97363,451
97256,298
97994,296
97479,1049
97819,981
97346,2114
97959,736
97136,2039
97183,401
99496,848
98272,6623
98901,2002
98139,146
99279,955
98888,618
98210,200
98235,708
98506,415
99361,1072
98500,181
98593,832
99127,176
99180,2728
98633,325
98521,433
99205,743
99310,210
98351,6611
98855,323
99208,242
99142,153
98935,4021
98221,2384
98813,307
98570,1374
98291,2310
99003,217
98762,504
83462,463
83335,192
83392,1431
83434,50
83322,954
83698,129
83238,50
83857,903
83574,98
83416,666
83898,371
83618,654
83710,7104
83545,274
59090,785
59004,1358
59476,318
59901,1414
59015,1194
59746,1590
59875,251
59459,7215
59210,4466
59675,1269
59834,564
59127,690
59053,8646
59535,791
85319,4970
85884,912
86358,374
86274,190
86590,732
85658,572
85583,530
86081,359
85357,299
86347,2531
86265,1166
85018,542
85712,2025
85055,421
86488,142
85305,11687
85052,35000
85476,54
85358,1373
85250,1683
85041,291
80030,646
81686,226
81365,926
81151,418
80534,518
80955,5950
81272,729
80092,608
80478,1062
80769,2729
80668,2203
80823,328
80790,340
80803,375
80007,258
81383,178
81147,3501
80891,2354
81245,3594
81463,1276
81108,8970
80798,378
80404,516
81016,199
80143,287
77702,2137
77330,1815
75648,1003
77783,4669
77193,3428
79557,2807
75292,5671
78472,1023
79728,3923
75398,953
78227,588
79731,846
78962,69
79522,960
79109,410
77122,286
76779,758
75092,510
76612,699
79481,1631
77913,289
77169,4832
79036,885
77760,155
77253,299
79104,330
76942,1021
76494,7736
79202,82
77826,9968
76380,6532
76397,193
76107,10257
77940,695
75507,737
79881,570
77384,5127
76795,2266
79408,546
76655,1165
79866,1066
77877,1802
78665,2426
79577,1053
79853,1845
78504,504
77263,2691
78939,892
76556,4654
78194,509
76460,915
79183,938
77929,2212
78463,2299
78828,1651
79713,524
75477,359
76841,96
76891,892
78253,409
76625,227
75980,458
76880,3292
75233,446
78097,989
77439,951
78445,237
77839,484
78718,2269
79203,1045
78779,165
78196,1793
76213,1998
78955,863
76371,4566
76725,6732
75853,1242
76414,1667
76840,1537
75376,4629
75788,2729
77131,425
76978,514
75916,603
79487,667
73021,5323
74198,327
74105,1250
73822,139
73334,3471
74236,845
74947,472
74512,4974
73089,1103
73049,396
73468,487
73920,985
74173,1280
74275,1397
73966,1459
74581,659
73936,752
73525,2234
73039,515
74629,2845
74085,1347
74133,159
74917,1757
74693,1240
74933,1018
73517,1244
73369,6675
74230,225
74267,803
73703,2361
74753,674
73396,1454
67580,1197
67776,4922
67189,1637
66350,1082
66097,2476
66294,4706
66221,260
66407,444
66062,3215
66473,751
66257,60
66696,299
67856,5344
67888,1702
67026,3651
67201,2232
66353,1433
67627,441
66825,2605
67278,101
67631,4842
67994,397
67453,3314
66997,682
66291,972
67558,646
67827,675
66731,514
67690,1226
66224,1081
67911,329
67273,4425
66932,3915
67205,3241
67958,1279
67769,1080
66429,515
66555,1048
67433,1756
67547,11227
66802,1142
66871,1602
66950,1218
67956,1533
66220,852
66983,2265
66552,250
68735,141
68434,2333
68920,1573
68526,1627
68792,502
68686,893
68529,2598
68360,3777
68155,716
68966,7494
68206,4067
68566,4866
68513,364
68707,746
68620,323
68596,8368
69227,1598
69043,697
68737,306
69233,1409
68851,2965
68216,10965
68487,1749
69398,1435
68226,482
69359,619
68807,1110
68873,1000
68431,1045
68052,1404
68450,2302
68907,573
68534,826
68827,1111
69237,1052
69065,7067
68015,1106
69005,4500
68609,494
57109,2349
57764,8263
57580,6403
57432,1175
57342,984
57076,613
57671,605
57193,626
57043,240
57088,1653
57007,90
57080,415
57660,174
57627,2512
57183,3716
57644,1547
57159,1812
57636,11542
57325,2230
57026,19665
57010,1373
57434,1383
57721,779
58856,441
58648,1447
58617,2272
58075,254
58339,1848
58760,87
58656,219
58039,3234
58099,884
58080,3235
58358,291
58843,464
58705,1775
58244,1352
56345,178
55776,685
56479,1330
56268,231
56123,479
56256,682
55890,4817
55179,1870
55598,769
55606,707
56510,2318
55234,1579
56663,442
55485,855
55515,1747
55208,3293
55454,1066
55686,2883
56429,1436
55877,3914
55422,114
55874,1221
56495,2703
56098,10716
55337,10522
55729,2653
55588,1482
52800,437
51375,1198
51644,1560
51386,586
52689,1604
50022,5737
51704,6200
50265,573
52818,3414
51589,1918
51562,5521
50896,2522
51345,11726
52730,6265
50889,265
51613,1624
52294,420
52015,1244
51028,1700
52834,1263
50023,1963
52514,6772
50490,232
52377,1367
50551,2281
50263,551
52098,2964
51382,2907
50345,3358
52344,1217
50616,799
52472,780
51769,835
51820,2168
50857,1208
52245,1960
51963,242
51515,2779
52236,6192
51915,1052
50871,1722
51163,368
52162,402
51739,1588
52227,6613
51621,1263
51539,943
52894,373
50505,3691
52388,9017
52411,2013
64521,4005
63148,505
64578,2294
63743,710
65558,2203
64275,304
64335,5097
64463,2111
65892,766
65119,4951
64096,2496
64186,422
63899,2538
63231,146
65037,448
63414,610
63694,1475
63338,4897
65319,195
63334,9256
64177,306
65865,202
64900,124
64201,2905
63446,307
64283,4752
64499,3454
63294,101
65859,647
65483,1275
64667,1476
64435,979
65220,4495
63033,688
65165,3994
65857,1165
53278,341
53459,3031
54741,4853
54331,1532
54695,1723
54898,3365
53935,559
54992,1044
53254,602
53458,747
54221,821
53679,8187
54596,1643
54734,714
53477,883
54262,1833
54195,375
53826,898
54810,449
54401,2625
53502,1123
54795,2198
54316,150
53324,537
53941,2611
54971,35000
53647,885
54466,2582
53507,3059
53782,1194
53332,50
54877,540
54943,113
54913,1912
54936,2293
54212,472
53513,2608
54065,192
54848,71
61215,373
62628,90
61157,759
60290,679
61272,502
60857,117
60774,956
62185,2445
60668,1581
62847,2669
61213,4184
60299,911
62933,2088
62434,168
62254,972
61097,349
61844,1464
61371,547
62121,1318
62957,622
62259,455
62441,1143
62152,343
61523,884
60847,660
61167,1226
62344,615
61111,1752
61964,2107
62244,3026
60202,187
61013,294
46065,2575
47051,666
46061,359
47118,3266
46962,3606
46612,229
46117,230
46797,840
46638,5682
47794,1007
46406,571
46124,121
47247,1770
46279,932
46776,389
46246,479
47748,79
46753,257
47401,122
46853,445
46715,393
47898,813
46657,1059
46380,456
46617,1118
49694,774
49371,3067
48029,1476
49580,843
48939,1369
49932,128
48404,63
48578,1445
48155,399
48286,158
49349,2950
49986,679
48388,323
49879,3614
48873,574
48455,3394
48302,1307
48749,1479
49591,489
48174,1032
49527,865
48114,4265
49697,1631
48964,141
48560,2897
43147,319
43671,911
44507,341
45009,2092
44227,262
44598,887
45974,219
45480,775
43122,22789
45746,1422
44398,485
44727,507
45228,520
44777,922
43744,478
45729,838
45688,369
44051,545
45487,386
43503,1139
45428,81
43009,7871
45046,684
43692,1758
43819,1169
44712,433
45597,6334
43384,135
45766,69
15741,1015
15877,1466
15536,596
17635,240
16435,702
19554,1198
16988,1299
18483,1221
18248,72
18149,331
17622,525
18330,1830
15340,179
19001,1120
16627,98
19686,1845
16451,1709
17124,321
17829,916
19030,256
15795,2561
15331,477
16237,1357
10050,4259
10516,1941
10087,461
11633,555
13364,258
14142,630
14767,7954
11993,878
14327,308
11682,668
12318,936
14613,1219
11543,923
10848,216
11353,573
12518,1199
13314,101
12670,1239
10047,328
14795,408
13101,1301
40291,704
40848,2509
42261,1171
41198,50
41542,746
42640,885
40638,424
40974,647
41392,374
41193,105
40175,1552
42612,347
41147,5590
40139,1540
40683,1120
41645,1182
40285,2592
40520,921
41480,87
41115,424
40753,444
40296,843
40896,1613
37218,1018
37531,2708
38009,453
37743,484
37253,376
37956,1328
37455,765
38007,117
37247,1458
37987,2846
38080,1242
37606,470
38370,802
38290,1771
38036,305
38390,914
38443,183
37239,51
38533,1902
38540,129
37109,1247
31859,359
31690,931
30398,55
31575,374
31652,370
31100,3799
31589,289
31381,1411
30930,514
30964,1273
31240,2000
31134,481
31994,723
30703,405
31227,1680
30058,297
31771,105
31823,104
31511,1124
31899,744
34450,3469
34681,2512
33646,605
33974,1696
34534,2138
33367,527
34613,1763
32577,50
33462,3906
34654,455
33076,360
32849,409
33361,706
33329,2494
33185,303
32175,164
34834,894
34365,1504
28752,1713
28868,696
28461,2722
27050,1675
27541,402
28255,265
28199,427
28740,50
28741,5845
27941,2302
27694,1689
27493,204
28798,394
28841,3793
28898,3446
27682,155
28530,1466
27538,563
23569,641
23844,388
22339,1915
24529,1472
24126,699
22988,841
24526,1791
24085,579
24301,4429
22634,1417
23012,190
23997,525
22136,457
23516,1370
24316,604
22010,1321
