zipcode,state,region,lat,lon,synthetic_role
90999,CA,West,39.420999077683426,-123.0923733767022,expor
95340,CA,West,35.64974462623001,-117.31489617422575,local
92057,CA,West,35.059022717923234,-118.78350253835218,local
90835,CA,West,37.16447677019844,-120.2577235176817,local
95997,CA,West,36.03910087420102,-118.59657926239244,local
93492,CA,West,36.137935617868614,-118.13848515933074,local
91523,CA,West,36.85246119272338,-117.20209457900678,local
90066,CA,West,34.571298611675275,-117.74318140493128,local
90072,CA,West,35.296054159442456,-121.61300747676455,local
92682,CA,West,35.20993604822407,-121.24169360223662,local
92535,CA,West,37.37294869005036,-118.04942252171128,local
92571,CA,West,35.66294197754852,-124.39416386434094,local
92330,CA,West,35.58395239543901,-119.84009293144368,local
91737,CA,West,36.135477498943835,-118.4310525238094,local
95135,CA,West,36.54089539508324,-119.69157760241278,expor
95726,CA,West,36.64063670728288,-118.95415414817549,expor
93239,CA,West,36.40958520390685,-120.3047707339084,expor
91526,CA,West,36.34256699847981,-120.77452659413211,local
94552,CA,West,37.596707479492935,-120.8185741653029,local
90621,CA,West,36.57774883576462,-121.92847257779732,expor
92480,CA,West,37.149245741077486,-119.05348332475306,local
94553,CA,West,37.48125870135798,-118.08616431776119,hub
92822,CA,West,37.41687130561997,-117.16786239187724,expor
94067,CA,West,36.78692055658175,-122.64953586388332,local
92679,CA,West,37.152329396089996,-118.33136018050037,hub
92834,CA,West,38.03241707392761,-118.58459913095955,hub
91445,CA,West,34.709740012470895,-121.1745307473245,expor
91285,CA,West,37.18145698895512,-117.67931838370838,local
93164,CA,West,36.398458469104746,-116.63766955739314,local
92936,CA,West,35.0222839607342,-120.42603289632405,expor
90357,CA,West,37.03556455329775,-119.894197403928,local
91446,CA,West,37.20070493236475,-120.4610123742473,hub
94295,CA,West,36.242006161767236,-121.73471715755451,expor
92616,CA,West,37.05393571128493,-120.6233163744207,local
90294,CA,West,36.09865699064431,-118.18212254784765,local
93620,CA,West,37.81130234597523,-117.62413401929913,local
90167,CA,West,37.29268550710032,-116.90744555582785,expor
92462,CA,West,36.58379190920648,-117.67475984644477,expor
93932,CA,West,36.58288180123001,-118.25191264206352,local
91536,CA,West,34.57595309185617,-117.83173317477035,local
90058,CA,West,35.91485389588632,-118.72187702165292,local
91524,CA,West,38.55277794116932,-117.27474624020451,local
94115,CA,West,36.9906210545233,-123.31562924525444,local
91748,CA,West,36.55434859345992,-116.29836274582898,local
90757,CA,West,37.486919264931664,-118.19121251511862,local
90967,CA,West,36.16520021247723,-122.04261811566937,hub
94390,CA,West,35.789264337414735,-121.71369234992908,expor
95784,CA,West,35.76821926669615,-120.7501052123935,local
92119,CA,West,37.90706995880658,-118.86193434259471,local
91605,CA,West,36.261356794338305,-120.62739385952479,expor
94039,CA,West,39.132905423202644,-119.052975843049,hub
93198,CA,West,37.9663706777103,-119.33971334339319,local
94592,CA,West,37.35651061214895,-119.46746345000192,local
91407,CA,West,37.08661724158827,-116.7424903795559,local
92866,CA,West,36.21623808751884,-115.9604919951815,local
